Yorum,Predicted_Class,Vectorized_Text
"Hocam normalde ,yutupta hic yorum yapmamıştım bugün kendimi sizden aldıgım iyiniyetle gönülden  net qnlatmanız  n3deniyle kendim8 borclu hissettim v3 sizi taktir etmek gölümden geldi gercekten hak ediyorsunuz en güzel taktiri mukemmel saygı değer hocamız ,bende başta dahil oak üzere lütfen tüm direksiyon hocalarım .... birkered3 olsa ümmet hoca mın teorik ,pratik net bilgisi dışinda surucü adaylarına verdigi güz3l 3nerji v3 samimiyetini lütfen örnek alalım saygılarımla ümmet hocam",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1648 559 294 257 1464 3618 4318 700 977 2690 268 547 504 50 381 418 3796 17 9 1057 2349 493 245 564 513 611 1000 123 159 263 700 4534 268 1000 1487 3854
Ellerinize ve emeğinize sağlık çok aydınlatıcı bir video ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1051 3 1 678
Oo ümmet bey drone kaydı efsane olmuş emeğinize sağlık,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1158 3041 1892 230 1051
Bu kafa karışıklığı bırakmayan apaçık video için teşekkürler,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1551 678 6 32
"Merhaba hocam videolarınızı izledim.Çok faydalı bilgiler vermişsiniz.Benimde yarın direksiyon sınavım var, inşallah tek seferde geçerim",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1174 1173 2432 2625 25 953 49 2448
Hocam çok teşekkür ederim çok güzel anlatmışsın dronla çekim var ya harika olmuş,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 104 15 3 9 649 25 96 68 230
"Şu ehliyeti alsam bidaha buraları görmek istemem heralde. Ama faydalandığım sevgili ümmet hocam gelip sizin videoları beğenip giderim yinede, abone olmuştum ",negatif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 188 1249 1924 10 1112 722 767
Birazdan direksiyon sınavım var inşallah gecerim 0dan başladım videolar için teşekkürler hocam ,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 953 317 798 6 32
"Çok güzel anlatıyorsunuz  19 kasım da sıvaım var inşallah geçerim  videolarınız çok izliyorum, aldığım dersler daha faydalı buluyorum, emeğine sağlık hocam",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 11 25 953 3 4122 226 3927 8 1173 1051
"Ümmet hocam direksiyon egitmeni olmak icin videolarinızı izliyorum mükemmel qnlatış  sürucü adaylarina verdiginiz deger  net gerekli bilgileri aktarmanız supersiniz bigün wgitmen olursam sayenizd3 olucam cünküdqhq nasil ,ne anlatacaklarını yeri zamanı olmadan assagılayarak qnlatan hocalar sizi örnek alsın kimsenin birik8yanlışlq sevkini kırmasınlar wgitmenleri idolü ummet hocam",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 383 212 4122 62 3108 700 913 3466 2812 35 540 2753 800 547 1487 2085 2985
"Bugün direksiyon sınavım var. Direksiyon derslerimden önce hep sizin videolarınızı izledim. Kendi sürüş eğitim videolarınızdan da fazlasıyla istifade ettim. Emekleriniz için teşekkür ederim, başarılarınız devamını dilerim. İnşallah hem sizin öğrettiklerinizi hem eğitmen hocamın öğrettiklerini tam anlamıyla başarıyla uygulayarak sınavı geçmeye hak kazanırım, amin.",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257 25 55 303 722 363 154 940 11 501 147 6 104 15 4262 2409 953 53 722 53 64 1041 418
Cokkkkkkk teşekkürker hocam çok güzel anlatıyorsunuz Allah razı olsun inşaallah. inşaallah ilk sinavda geçerim Allah herkesin yardımcısı olsun Amin,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 1040 120 37 1040 575 4571 120
Geçen pazar sınavım vardı tekte geçtim hayatımda ilk kez soför koltuğuna oturmuş biri olarak derslere düzenli şekilde gidin fırsat buldukça ümmet hocayı izleyin ve sınav günü sakin kalmaya çalışın kalanların çoğu heyecan yüzünden kalıyor malesef bide komisyon hocanız kötüyse skntı,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 298 1479 156 2090 555 37 164 136 14 1097 82 1508 1605 478 2 232 1345 494 2931 1077 744 1236 1060
Dün direksyon sınavım vardı çok şükür geçtim hocam size çok teşekkür ederim herkese bol şanslar,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 490 156 3 3145 2090 396 3 104 15 99 632
Çok güzel  anlatıldı,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9
Ümmet hoca okadar iyi anlatıyorsunuz ki ben biraz geç başvurdum ehliyet için sizi denk geldiğime çok memnunum sizi izliyorum yakında sınavım var çok güzel anlatım olmuş Allah razı olsun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1294 7 66 26 48 561 6 547 1521 3 122 547 4122 4424 25 3 9 3128 230 1040 120
Hocaların hocası hocam Allah Razı olsun bilmediklerimi sizden öğreniyorum Ehliyetime kavuşursam  ALLAH  rızası için   önce ALLAH sonra sizin sayenizde olacak emeğiniz çok hakkınızı helâl edin ALLAH nasip eder de Ehliyetimi alırsam yine sürekli takipçiniz olucam  iyi bir sürücü olmak için Selametle kalın Hocam,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 120 3618 1040 6 55 1040 23 722 487 3 777 1040 351 12 130 219 7 1 383 6 675
Tek te geçtim çok şükür ve sizin sayenizde hiç bir sinyali unutmadim,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 1200 2090 3 3145 2 722 30 1
Teşekkür ederim emeğinize yüreğinize sağlık,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 15 1051
Cok faydalı video. Emeğinize sağlık.,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 1173 678 1051
Tam sınav öncesi aklımda bir iki sinyal sorusu vardı iyi ki çekmişsiniz bu videoyu :),pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 3054 4352 1 54 4679 156 7 66 4
Teşekkürler hocam emeğinize sağlık ,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1051
Umet hocam süper olmuş bu ayın sonunda direksiyon sınavım var inşallah geçerim ikinci hakim,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89 230 4 299 25 953 287 2916
Hocam depremden dolayı kurs yarım kaldı videolarınızla hazırlanıyorum emeğinize sağlık ,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 251 707 433 1051
Vallahi sınava girecek olan ummet hocayı çok iyi dinlesin ben hwrseyi hocadan öğrendim Allahim razı olsun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 3 7 26 120
Bende teorik derslere başladım umarım sizin gibi bir hoca denk gelir çok güzel motive ediyorsunuz sürücü adayini,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 245 798 613 722 18 1 1521 503 3 9 3796
6- Duracam demek sağ sinyal demektir. Yola çıkacam  demek sol sinyal demektir.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 894 1594 4679 2613 1932 894 1673 4679 2613
Gerçekten çok iyi anlatıyorsunuz hocam teşekkürler benimde sınavım var insallah geçerim ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 3 7 32 25
"Hocam anlatiminiz şahane ""öldükten sonra ibadet yapılmaz"" . Hocam inanın kurstan hiç birşey anlamadım.paralel ve l parkı sizin anlatimizla düzgün yapabiliyorum. Tabi daha direksiyon sınavına girmedim.1 hafta sonra direksiyon sınavım var. Umarım fazla heyecan yapmadan sınavı geçerim.Her için teşekkürler....",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1723 23 990 30 355 2 2197 722 948 388 8 198 23 25 613 70 2931 3256 6 32
İşte budur ya. Sizin anlatımının benim kafamda daha güzel kalıyor Allah razı olsun ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 470 1624 96 722 105 8 9 744 1040 120
çok güzel anlatıyorsunuz benim hoca şevkimi kırmaktan başka işe yaramıyor sizden ders alanlar çok şanslı,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 105 97 310 2986 3618 1728 3306 3
Yarin sabah sınavım var Allah’ın izniyle inşallah tekte geçerim hocam. Lütfen bana dua  edin geçince buraya geçtim demek istiyorum. Sonra araba almak istiyorum çok sizden ders almak istiyorum hocam mükemmel bir direksiyon eğitim hocasınız çok detaylı bilgi veriyorsunuz çok teşekkür ederim size sizin gibi değerli hocalarım hep var olsun inşallah sağlıkla kalın hocam.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 432 25 953 1000 126 4624 777 3204 1150 2090 894 957 23 1026 175 957 3 3618 1728 175 957 62 1 940 3 3544 629 3 104 15 396 722 18 2498 303 25 120 953 675
Çok güzel acık ve net anlatım,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 2 700 3128
"10:28 den sonrasınıi nsanların %99'u yanlış yapıyor, hatta geçen gün direksiyon hocası arkadaşıma söyledim o bile direkt sağ şeride geçilir dedi baktım cahalet paçadan akıyor hııı tamam deyip geçtim, siz videonuzda doğrusunu paylaştığınız için teşekkür ederim.",pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 459 1626 873 261 217 298 43 2164 36 46 2973 1594 890 1649 3929 1209 3188 2090 455 6 104 15
Hocam tekrar tekrar izliyorum.Elektronik sınavda da dönüşlerde mesafe ile ilgili  sorular geliyor.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 199 199 11 20 242 192
Hocam sizin videolarınızı hep izliyorum çok faydalı oldu kendi hocamda iyiydi yarın sınavım var inşallah bir sıkıntı çıkmaz geçerim ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 722 303 4122 3 1173 47 154 468 2625 25 953 1 201 3203
Bugün sınavı geçtim videolarınız çok yardımcı oldu teşekkür ederim,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257 2090 3 661 47 104 15
Teşekkürler çok vetimliydi,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 3
Allah razı olsun çok güzel anlatıyorsunuz hocam,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 120 3 9
Çok güzel anlatmissiniz hocam yarın sınavım var çok heyecanlanıyorum dua edin nolur herkesin Allah yardımcısı olsun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 2625 25 3 4624 777 575 1040 4571 120
Anlatım çok açıklayıcı olmuş emeğinize sağlık hocam,nötr,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3128 3 230 1051
Videolarınızı çok izledim çok güzel anlatiyorsunuz hocam yarin sınavım var inşallah bende geçerim bütün adaylarımıza başarılar dilerim,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 363 3 9 25 953 245 216 3438 2409
Hocam teşekkür ederim.Bugun ehliyet  sınavını geçtim .Videolarınız çok faydalı oldu.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 2090 3 1173 47
Benimde pazar günü sınavım var inşallah geçerim dua edin herkeze başarılar,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1479 232 25 953 4624 777 1184 3438
Emeğinize sağlık hocam Allah im razı olsun,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1051 1040 120
Çok güzl bir anlatımdı hocam emeğinize sağlık izledm inş daha iyi dikkatli olurz sınavı da geçerz,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1051 8 7 1233 11
Çok güzel anlattınız hocam ağzına sağlık hem görsel hem izah edişiniz mükemmel teşekkürler ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 1051 53 978 53 62 32
Direksiyon dersine başlamadık aramalarini bekliyorum korktuğum sinyal unutmak insAllah Rabbim korktuğuma uğramaz aminnn.,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1335 4679
Allah razı olsun hocam cok güzel  anlatıyor sunuz benimde yarın  4 cü  dersim sinyalleri cok karıştırı yordum ama sayenizde daha çok iyi anladım ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1040 120 42 9 3267 2625 42 10 8 3 7 1378
Hocam çok teşekkür ederiz bu kadar kısa akıcı ve anlaşılır anlattığınız için. Umarım 29 da  sınavımı geçer buraya bende geçtim yazarım ,pozitif,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 104 821 4 19 111 1167 2 3424 6 613 11 2006 1150 245 2090
